Index,Source of the Prompt,Prompt (LLM input),paragraph,"which 
LLM? ","need_check
",isHallucination,search_query 
103,"מבחני לשכה, דין דיוני, דצמבר 24",,"התביעה של ירין צריכה להיות מוגשת לבית משפט השלום, מכיוון שהסכום של התביעה, לא כולל שכר טרחת עורך דין הצפוי, הוא מתחת לתקרת הסמכות של בית משפט השלום (2.5 מיליון ש""ח, נכון ל-2021).
לכן, ירין צריכה להגיש את התביעה בגין הפרת חוזה בסך 1,500,000 ש""ח לבית משפט השלום, בהתאם לסמכות השיפוט שלו לטפל בתביעות אזרחיות עד 2.5 מיליון ש""ח.",שיניתי פסקה עם הזייה,1,0,"סמכות בית משפט השלום תביעות אזרחיות עד 2.5 מיליון ש""ח $!$ תקרת סמכות בית משפט השלום 2021"
104,"מבחני לשכה, דין דיוני, דצמבר 24","ירין מעוניינת להגיש תביעה אזרחית בגין הפרת חוזה בסך 1,500,000 ש""ח. התברר לה כי בצירוף הצמדה וריבית סכום התביעה עולה לסך של 2,100,000 ש""ח, ובצירוף שכר טרחת עורך דין הצפוי להיפסק בתביעה על ידי בית המשפט הסכום הכולל צפוי לעלות על 2,600,000 ש""ח. לאיזה בית משפט ירין צריכה להגיש את התביעה?","בהתאם לחוק בתי המשפט [נוסח משולב], התש""ד-1984, סמכות בית המשפט נקבעת לפי סכום התביעה בפועל ללא צירוף הצמדה, ריבית ושכר טרחה.
במקרה של ירין:

סכום התביעה העיקרי: 1,500,000 ש""ח
זהו הסכום הקובע לעניין קביעת הסמכות

לכן, ירין צריכה להגיש את התביעה לבית המשפט המחוזי.
זאת משום שבתי המשפט השלום מוסמכים לדון בתביעות אזרחיות עד לסך של 2,500,000 ש""ח (נכון למועד עדכון הסכומים האחרון), וסכום התביעה העיקרי של ירין נמוך מסכום זה.",Claude,1,0,"חוק בתי המשפט [נוסח משולב], התשמ""ד-1984 סמכות לפי סכום התביעה ללא הצמדה וריבית $!$ סמכות בית משפט השלום תביעות עד 2.5 מיליון ש""ח"
105,"מבחני לשכה, דין דיוני, דצמבר 24","ירין מעוניינת להגיש תביעה אזרחית בגין הפרת חוזה בסך 1,500,000 ש""ח. התברר לה כי בצירוף הצמדה וריבית סכום התביעה עולה לסך של 2,100,000 ש""ח, ובצירוף שכר טרחת עורך דין הצפוי להיפסק בתביעה על ידי בית המשפט הסכום הכולל צפוי לעלות על 2,600,000 ש""ח. לאיזה בית משפט ירין צריכה להגיש את התביעה?","בישראל, הסמכות העניינית של בתי המשפט בתביעות אזרחיות נקבעת לפי סכום התביעה, כפי שמפורט בחוק בתי המשפט, התשמ""ד-1984.

בית משפט השלום: מוסמך לדון בתביעות כספיות שסכומן אינו עולה על 2,500,000 ש""ח (נכון לעדכונים האחרונים).
בית המשפט המחוזי: מוסמך לדון בתביעות שסכומן עולה על 2,500,000 ש""ח.",Grok,1,0,"סמכות עניינית בתי משפט תביעות אזרחיות חוק בתי המשפט 1984 $!$ בית משפט השלום תקרת סמכות 2.5 מיליון ש""ח $!$ סמכות בית המשפט המחוזי סכום התביעה"
106,"מבחני לשכה, דין דיוני, דצמבר 24",,"במקרה של ירין סכום התביעה הראשוני הוא 1,500,000 ש""ח.
עם הצמדה וריבית, הסכום עולה ל-2,100,000 ש""ח, שעדיין נמצא בסמכות בית משפט השלום.
אולם, כאשר מוסיפים את שכר טרחת עורך הדין הצפוי להיפסק (כחלק מהסכום הכולל שצפוי לעלות על 2,600,000 ש""ח), יש לבחון את הסכום הכולל של התביעה כפי שהוא מוגש לבית המשפט.
לפי הפסיקה והפרקטיקה, הסמכות נקבעת על פי סכום התביעה כפי שהוא מופיע בכתב התביעה, כולל ריבית והצמדה, אך לא בהכרח שכר טרחת עורך דין, שכן זהו סעד משני שתלוי בהחלטת בית המשפט. עם זאת, אם ירין כוללת בכתב התביעה סכום כולל שצפוי לעלות על 2,500,000 ש""ח (למשל, בצירוף שכר טרחת עורך דין משוער), התביעה תוגש לבית המשפט המחוזי.",Grok,1,1,"סמכות עניינית בית משפט שלום תביעה מעל 2.500.000 ש""ח $!$ האם שכר טרחת עו""ד נכלל בקביעת סכום סמכות עניינית"
107,"מבחני לשכה, דין דיוני, דצמבר 24",,"מסקנה: אם סכום התביעה בכתב התביעה (כולל הצמדה וריבית) הוא 2,100,000 ש""ח, ירין צריכה להגיש את התביעה לבית משפט השלום.
אם היא כוללת בכתב התביעה סכום כולל העולה על 2,500,000 ש""ח (למשל, עם שכר טרחת עורך דין משוער), התביעה תוגש לבית המשפט המחוזי.
המלצה: ירין צריכה להיוועץ בעורך דין כדי לנסח את כתב התביעה בצורה מדויקת, שכן הכללת שכר טרחת עורך דין בסכום התביעה עשויה להשפיע על הסמכות העניינית. בנוסף, יש לבדוק את מקום מגוריה או מקום ההפרה כדי לקבוע את הסמכות המקומית של בית המשפט.",Grok,1,1,האם שכר טרחת עורך דין נכלל בקביעת הסמכות העניינית $!$ חוק בתי המשפט סמכות עניינית לפי סכום התביעה כולל הצמדה וריבית $!$ סמכות מקומית מקום מגורים או מקום ההפרה
108,"מבחני לשכה, דין דיוני, דצמבר 24","ירין מעוניינת להגיש תביעה אזרחית בגין הפרת חוזה בסך 2,400,000 ש""ח. התברר לה כי בצירוף הצמדה וריבית סכום התביעה עולה לסך של 2,700,000 ש""ח, ובצירוף שכר טרחת עורך דין הצפוי להיפסק בתביעה על ידי בית המשפט הסכום הכולל צפוי לעלות על 2,900,000 ש""ח. לאיזה בית משפט ירין צריכה להגיש את התביעה?","כאשר ירין מגישה תביעה אזרחית בגין הפרת חוזה, הסמכות העניינית של בית המשפט נקבעת לפי סכום התביעה.
במקרה של ירין, סכום התביעה המקורי הוא 2,400,000 ש""ח, אך לאחר צירוף הצמדה וריבית, הסכום עולה ל-2,700,000 ש""ח. הסכום הקובע לעניין הסמכות העניינית הוא סכום התביעה המעודכן, כולל הצמדה וריבית, אך ללא שכר טרחת עורך דין (שכר טרחה נחשב כהוצאה נלווית לפסק הדין ולא חלק מסכום התביעה עצמו).
לכן, סכום התביעה הקובע במקרה זה הוא 2,700,000 ש""ח.
מאחר וסכום התביעה של ירין (2,700,000 ש""ח) עולה על 2,500,000 ש""ח, ירין צריכה להגיש את התביעה לבית משפט מחוזי.",Gemini,1,1,"סמכות עניינית בית משפט תביעה אזרחית מעל 2.500.000 ש""ח $!$ האם הצמדה וריבית נכללים בקביעת סמכות עניינית $!$ האם שכר טרחת עו""ד נחשב כחלק מסכום התביעה לצורך סמכות עניינית"
109,"מבחני לשכה, דין מהותי, דצמבר 24","יעקב ורחל היו נשואים משנת 2000, בשנת 2001 רכשו יחדיו דירה והתגוררו בה עד לפטירתו הפתאומית של יעקב בשנת 2020. ליעקב ורחל לא נולדו ילדים, וליעקב רק שתי אחייניות, מיכל ועדי. העיזבון של יעקב כולל את הדירה המשותפת לו ולרחל, מכונית וחשבון בנק ביתרת זכות של 600,00 ש""ח. ליעקב לא הייתה צוואה, כיצד יחולק העיזבון?","## חלוקת עיזבונו של יעקב ז""ל

במקרה של פטירתו הפתאומית של יעקב ז""ל ללא צוואה, חלוקת העיזבון תיעשה בהתאם ל**חוק הירושה תשכ""ה-1965**. החוק קובע סדרי קדימות ברורים לזכאים לירושה.

**רחל, אלמנתו של יעקב:**

רחל זכאית למחצית הדירה המשותפת מכוח היותה שותפה בה. יתרת חלקה של יעקב בדירה (המחצית השנייה) וכן שאר נכסיו, יחולקו כדלקמן:

* **הדירה:** מכיוון שהדירה שימשה למגוריהם המשותפים של יעקב ורחל, רחל זכאית לכל הריהוט שבה. בנוסף, היא זכאית למחצית מחלקה של יעקב בדירה, כלומר, בסך הכל רחל תהיה הבעלים של 75% מהדירה.
* **חשבון הבנק:** רחל זכאית למחצית מיתרת חשבון הבנק, כלומר 300,000 ש""ח.
* **המכונית:** רחל זכאית למחצית שווי המכונית.

**מיכל ועדי, אחייניותיו של יעקב:**

מכיוון שליעקב ז""ל אין ילדים, נכדים או הורים בחיים, והוא לא השאיר צוואה, הרי שעל פי חוק הירושה, האחייניות אינן יורשות. סדר הקדימות בחוק קובע כי רק במקרה שאין בן זוג, ילדים, נכדים, הורים, אחים או צאצאיהם בחיים, רק אז הירושה תעבור לדרגה הבאה של קרובי משפחה. במקרה זה, האחייניות הן בנות אחים, אך כל עוד יש בן/בת זוג בחיים, הירושה מתחלקת רק בינם לבין הילדים/הורים (במקרה וקיימים). מאחר וליעקב אין ילדים או הורים בחיים, **האחייניות לא יקבלו דבר מהעיזבון במקרה זה**.

**לסיכום החלוקה:**

* **רחל** תקבל:
    * 75% מבעלות הדירה (החצי שלה ועוד חצי מחלקו של יעקב).
    * את כל הריהוט שבדירה.
    * 300,000 ש""ח מחשבון הבנק.
    * מחצית משווי המכונית.
* **המחצית הנותרת** מחלקו של יעקב בדירה, מחשבון הבנק ומהמכונית, שהיא החצי הנותר של יעקב בעיזבון, תעבור כולה **לרחל** מכיוון שאין יורשים אחרים מדרגה קרובה יותר (ילדים, הורים).

**לכן, בסופו של דבר, רחל, אלמנתו של יעקב, תירש את כל עיזבונו של יעקב.**
",Gemini,1,1,"חוק הירושה תשכ""ה-1965 סדרי קדימות בירושה בהיעדר צוואה $!$ ירושת בן זוג בדירה וריהוט משותף לפי חוק הירושה $!$ האם אחייניות יורשות לפי חוק הירושה בישראל"
110,"מבחני לשכה, דין מהותי, דצמבר 24",,"על פי חוק הירושה התשכ""ה-1965 בישראל, כאשר אדם נפטר ללא צוואה, עיזבונו מחולק לפי כללי הירושה על פי דין. במקרה זה, יעקב נפטר ללא צוואה, ולכן יש לבחון את סדר היורשים ואת חלוקת העיזבון בהתאם לחוק.",Gemini,1,0,"חוק הירושה התשכ""ה-1965 ירושה ללא צוואה $!$ סדר יורשים לפי חוק הירושה בישראל"
111,"מבחני לשכה, דין מהותי, דצמבר 24",,"### נתונים עיקריים:
- יעקב ורחל היו נשואים משנת 2000 עד פטירת יעקב ב-2020.
- ליעקב ורחל אין ילדים.
- ליעקב יש שתי אחייניות (מיכל ועדי), אך לא צוין שיש לו הורים או אחים בחיים.
- העיזבון כולל: 
  - דירה משותפת ליעקב ורחל.
  - מכונית.
  - חשבון בנק עם יתרה של 600,000 ש""ח.
- יעקב לא הותיר צוואה.

### כללי הירושה על פי חוק הירושה התשכ""ה-1965 בישראל:
1. **בן/בת הזוג (רחל)**:
   - על פי סעיף 11 לחוק הירושה, כאשר לנפטר אין ילדים או צאצאים, בן/בת הזוג זכאי/ת למחצית מהעיזבון.
   - בנוסף, בת הזוג זכאית לזכויות בדירת המגורים המשותפת ולתכולתה.

2. **הורים או צאצאיהם (אחים/אחיינים)**:
   - אם לנפטר אין ילדים, המחצית השנייה של העיזבון מתחלקת בין הורי הנפטר, ואם הם אינם בחיים, בין צאצאיהם (אחים ואחיות של הנפטר או צאצאיהם, כלומר אחיינים).
   - במקרה זה, הוריו ואחיו של יעקב אינם בחיים, אך יש לו שתי אחייניות (מיכל ועדי) המייצגות את אחיו שנפטרו.

3. **רכוש משותף**:
   - בישראל, כאשר בני זוג נשואים, רכוש שנצבר במהלך הנישואין (כולל דירה, מכונית, וחשבונות בנק) נחשב כרכוש משותף על פי חזקת השיתוף או הסכם ממון (אם קיים). בהיעדר הסכם ממון, יש להניח כי הדירה, המכונית וחשבון הבנק הם רכוש משותף, ולכן מחצית מהם שייכת לרחל עוד לפני חלוקת העיזבון.",Gemini,1,1,"חוק הירושה תשכ""ה-1965 זכויות בן זוג ללא ילדים $!$ ירושת אחיינים בהיעדר הורים ואחים $!$ חזקת השיתוף ברכוש בין בני זוג בישראל"
112,"מבחני לשכה, דין מהותי, דצמבר 24",,"
### חלוקת העיזבון:
בהתבסס על החוק והנתונים:
1. **דירת המגורים**:
   - הדירה נרכשה במהלך הנישואין (2001), ולכן היא נחשבת כרכוש משותף. מחצית הדירה (50%) שייכת לרחל מלכתחילה.
   - חלקו של יעקב בדירה (50%) עובר לרחל כחלק מזכויותיה כבת זוג על פי סעיף 11(א), מאחר שהם התגוררו בה יחד.
   - **תוצאה**: רחל מקבלת את מלוא הדירה (100%).

2. **מכונית**:
   - המכונית נחשבת כרכוש משותף, ולכן מחציתה (50%) שייכת לרחל מלכתחילה.
   - מחצית המכונית של יעקב (50%) תתחלק כך:
     - רחל זכאית למחצית מחלקו של יעקב בעיזבון (כלומר, 25% מהמכונית).
     - המחצית השנייה של חלקו של יעקב (25% מהמכונית) תעבור לשתי אחייניותיו.
   - **תוצאה זמנית**: רחל מקבלת 75% מהמכונית (50% כרכוש משותף + 25% מהעיזבון).

3. **חשבון בנק (600,000 ש""ח)**:
   - חשבון הבנק נחשב כרכוש משותף, ולכן מחציתו (300,000 ש""ח) שייכת לרחל מלכתחילה.
   - מחצית החשבון של יעקב (300,000 ש""ח) תתחלק כך:
     - רחל זכאית למחצית מחלקו של יעקב בעיזבון (150,000 ש""ח).
     - המחצית השנייה של חלקו של יעקב (150,000 ש""ח) תעבור לשתי אחייניותיו.
   - **תוצאה זמנית**: רחל מקבלת 450,000 ש""ח (300,000 כרכוש משותף + 150,000 מהעיזבון).

4. **האחייניות (מיכל ועדי)**:
   - אם הוריו של יעקב אינם בחיים, האחייניות (מיכל ועדי) זכאיות למחצית השנייה של העיזבון (לאחר שרחל קיבלה את מחציתה).
   - הן יחלקו ביניהן את:
     - 25% מהמכונית (שווי כספי או חלק יחסי).
     - 150,000 ש""ח מחשבון הבנק.
   - כל אחיינית תקבל:
     - 12.5% מהמכונית (חלק יחסי או שווי כספי).
     - 75,000 ש""ח מחשבון הבנק.",Gemini,1,1,"חוק הירושה התשכ""ה-1965 סעיף 11(א) זכויות בן זוג בדירת מגורים $!$ ירושה של אחייניות כאשר אין צאצאים או הורים $!$ רכוש משותף וחלוקתו במקרה פטירה"
113,"מבחני לשכה, דין מהותי, דצמבר 24","יעקב ורחל היו נשואים משנת 2000, בשנת 2001 רכשו יחדיו דירה והתגוררו בה עד לפטירתו הפתאומית של יעקב בשנת 2020. ליעקב ורחל לא נולדו ילדים, וליעקב רק שתי אחייניות, מיכל ועדי. העיזבון של יעקב כולל את הדירה המשותפת לו ולרחל, מכונית וחשבון בנק ביתרת זכות של 600,00 ש""ח. ליעקב לא הייתה צוואה, כיצד יחולק העיזבון?","לפי המידע שניתן, ליעקב אין צוואה, והעיזבון שלו יחולק בהתאם לחוק הירושה. מאחר שליעקב אין ילדים, והוא השאיר אחריו רק אחייניות, העיזבון יחולק לפי סעיף 17 לחוק הירושה, תשכ""ה-1965 (להלן: ""חוק הירושה"").",Dicta,1,1,"חוק הירושה תשכ""ה-1965 סעיף 17 $!$ ירושה ללא צוואה כאשר לנפטר אין ילדים $!$ האם אחייניות יורשות לפי חוק הירושה בישראל"
114,"מבחני לשכה, דין מהותי, דצמבר 24",,"השלבים לחלוקת העיזבון של יעקב:
זיהוי היורשים:
מכיוון שיעקב לא השאיר אחריו צוואה, היורשים שלו ייקבעו לפי חוק הירושה.
מכיוון שליעקב אין ילדים, היורשים שלו הם בני משפחתו הקרובים ביותר: אשתו (רחל) ואחייניותיו (מיכל ועדי).
קביעת חלקיהם של היורשים:
סעיף 12 לחוק הירושה קובע כי יורשיו של אדם הם בן זוגו, ילדיו וצאצאיהם, הוריו וצאצאיהם, והורי הוריו וצאצאיהם.
מכיוון שיעקב השאיר אחריו את אשתו רחל, היא זכאית לרשת את מחצית העיזבון.
מכיוון שיעקב השאיר אחריו רק אחייניות, מיכל ועדי, הן זכאיות לרשת את המחצית השנייה של העיזבון.
חלוקת הירושה בין היורשים:
לפי סעיף 17 לחוק הירושה, אם יש רק בן זוג וילדים או צאצאי ילדים, בן הזוג יורש את כל המיטלטלין ואת מכונית הנוסעים של המנוח, ואת מחצית העיזבון הנותר.
במקרה זה, כיוון שיעקב השאיר אחריו רק את אשתו רחל ואחייניותיו מיכל ועדי, רחל זכאית לרשת את הדירה, המכונית וחשבון הבנק.
האחייניות, מיכל ועדי, זכאיות למחצית העיזבון הנותר, הכולל את הדירה, המכונית וחשבון הבנק.
לסיכום, העיזבון של יעקב יחולק כך:

אשתו, רחל, תקבל את הדירה המשותפת, את המכונית ואת חשבון הבנק.
האחייניות שלו, מיכל ועדי, יחלקו ביניהן את המחצית השנייה של העיזבון, הכוללת את הדירה, המכונית ואת חשבון הבנק.",Dicta,1,1,"חוק הירושה התשכ""ה-1965 סעיף 12 סדר היורשים $!$ חוק הירושה סעיף 17 זכויות בן זוג ברכוש מיטלטלין ומכונית $!$ ירושה ללא צוואה בן זוג ואחיינים"
115,"מבחני לשכה, דין מהותי, דצמבר 24","יעקב ורחל היו נשואים משנת 2000, בשנת 2001 רכשו יחדיו דירה והתגוררו בה עד לפטירתו הפתאומית של יעקב בשנת 2020. ליעקב ורחל לא נולדו ילדים, וליעקב רק שתי אחייניות, מיכל ועדי. העיזבון של יעקב כולל את הדירה המשותפת לו ולרחל, מכונית וחשבון בנק ביתרת זכות של 600,00 ש""ח. ליעקב לא הייתה צוואה, כיצד יחולק העיזבון?","לפי המידע שניתן, ליעקב אין צוואה, והעיזבון שלו יחולק בהתאם לחוק הירושה. מאחר שליעקב אין הורים, ילדים או נכדים, והוא השאיר אחריו רק אחייניות, העיזבון יחולק לפי סעיף 11 לחוק הירושה, תשכ""ה-1965 (להלן: ""חוק הירושה"").",שיניתי,1,0,"חוק הירושה תשכ""ה-1965 סעיף 11 $!$ סדר הקדימות בירושה ללא ילדים והורים $!$ האם אחייניות יורשות לפי חוק הירושה בישראל"
116,"מבחני לשכה, דין מהותי, דצמבר 24",,"מכיוון שיעקב לא השאיר אחריו צוואה, היורשים שלו ייקבעו לפי חוק הירושה.
מכיוון שליעקב אין הורים, ילדים ונכדים, היורשים שלו הם בני משפחתו הקרובים ביותר: אשתו (רחל) ואחייניותיו (מיכל ועדי).
קביעת חלקיהם של היורשים:
סעיף 11 לחוק הירושה קובע כי יורשיו של אדם הם בן זוגו, ילדיו וצאצאיהם, הוריו וצאצאיהם, והורי הוריו וצאצאיהם.
מכיוון שיעקב השאיר אחריו את אשתו רחל לה היה נשוי 20 שנה, והם התגוררו בדירה במשך 19 שנים, היא זכאית לרשת את כל הדירה, את כל המיטלטלין כולל המכונית ושני שליש מהנותר משאר העיזבון.
מכיוון שיעקב השאיר אחריו רק אחייניות, מיכל ועדי, הן זכאיות לרשת את השליש הנותר של העיזבון ויתחלקו בו שווה בשווה.",שיניתי,1,0,"חוק הירושה התשכ""ה-1965 סעיף 11 זכויות בן זוג בירושה ללא ילדים והורים $!$ ירושה ללא צוואה כאשר נותרו בן זוג ואחיינים $!$ זכויות בן זוג בדירה משותפת לפי חוק הירושה"
117,"מבחני לשכה, דין מהותי, דצמבר 24","לטובת דוד נרשם עיקול על הרכב של אורית בשל חוב שלה כלפיו בסך 5,000 ש""ח. לאורית חובות נוספים, שבגינם עוקל הרכב גם על ידי נושים אחרים. הרכב נמכר ליאיר תמורת סך של 20,000 ש""ח על ידי כונס נכסים שמונה לבקשת נושיה האחרים במסגרת הליכי הוצאה לפועל. מה דין העיקול?","כאשר נרשם עיקול על רכב, כמו זה שנרשם לטובת דוד, מדובר באמצעי להבטחת גביית החוב, אך לא בזכות קניינית בנכס. במקרה זה, הרכב נמכר על ידי כונס נכסים שמונה במסגרת הליכי הוצאה לפועל ביוזמת נושים אחרים של אורית. מכירה שנעשית על ידי כונס נכסים במסגרת הליכים אלה היא מכירה תקפה, שמעבירה את הזכויות ברכב לקונה כשהן נקיות מעיקולים.
לפיכך, העיקול שרשם דוד בטל עם ביצוע המכירה, שכן הנכס עצמו אינו קיים עוד במסגרת נכסי החייבת, והעיקול אינו יכול להוסיף ולהתקיים. עם זאת, דוד שומר על זכותו להשתתף בחלוקת כספי התמורה שנתקבלו מהמכירה, בהתאם למעמדו כנושה ובהתאם לדין. התמורה מהמכירה, בסך 20,000 ש""ח, תחולק בין כלל נושיה של אורית לפי סדר הקדימות שנקבע בדין, ודוד יוכל לדרוש את חלקו מתוך סכום זה. הקונה, יאיר, רכש את הרכב כדין, והוא אינו כפוף לעיקולים קודמים, ולכן זכויותיו ברכב אינן נפגעות.",ChatGPT,1,0,עיקול על רכב אינו מקנה זכות קניינית $!$ מכירת רכב על ידי כונס נכסים במסגרת הוצאה לפועל מעבירה זכויות נקיות מעיקולים $!$ סדר חלוקת כספים בין נושים לאחר מימוש נכס בהוצאה לפועל
118,"מבחני לשכה, דין מהותי, דצמבר 24","לטובת דוד נרשם עיקול על הרכב של אורית בשל חוב שלה כלפיו בסך 5,000 ש""ח. לאורית חובות נוספים, שבגינם עוקל הרכב גם על ידי נושים אחרים. הרכב נמכר ליאיר תמורת סך של 20,000 ש""ח על ידי כונס נכסים שמונה לבקשת נושיה האחרים במסגרת הליכי הוצאה לפועל. מה דין העיקול?","כאשר נרשם עיקול על רכב, כמו זה שנרשם לטובת דוד, מדובר באמצעי להבטחת גביית החוב, אך לא בזכות קניינית בנכס. במקרה זה, הרכב של אורית נמכר על ידי כונס נכסים שמונה במסגרת הליכי הוצאה לפועל ביוזמת נושים אחרים של אורית. מכירה שנעשית על ידי כונס נכסים במסגרת הליכים אלה היא מכירה תקפה, שמעבירה את הזכויות ברכב לקונה כשהן נקיות מעיקולים.
לכן העיקול על הרכב מתבטל, ודוד יצטרך לעקל נכס אחר של אורית כדי להבטיח את תשלום החוק של אורית כלפיו.",שיניתי,1,1,עיקול אינו זכות קניינית ברכב $!$ מכירת רכב על ידי כונס נכסים מבטלת עיקולים קיימים $!$ סמכויות כונס נכסים בהליכי הוצאה לפועל
119,"מבחני לשכה, דין מהותי, דצמבר 24","דני הוא בעלים של דירת גן. כדי לקנות את דירת הגן קיבל דני משכנתה מהבנק. לאחר שנתיים החליט דני למכור את הדירה והוא חתם על הסכם למכירת דירתו ליוסי, בלי ליידע את הבנק על העסקה. כשיוסי ביקש לרשום את הדירה על שמו התברר לו שהבנק התחיל בהליכי הוצאה לפועל של המשכנתה עקב אי תשלום של דני. ולאחר כמה ימים גילה יוסי שהדירה נמכרה למשה בהוצאה לפועל. מה הדין?","במקרה זה, לדני הייתה משכנתה רשומה על הדירה לטובת הבנק, ולפיכך הבנק היה בעל זכות קניינית מובטחת. כאשר דני מכר את הדירה ליוסי מבלי ליידע את הבנק ומבלי שזכותו של יוסי נרשמה או שנרשמה הערת אזהרה לטובתו, זכויותיו של יוסי היו זכויות חוזיות בלבד ואינן גוברות על זכותו הרשומה של הבנק.
הבנק, עקב אי תשלום החוב, פתח בהליכי הוצאה לפועל למימוש המשכנתה ומכר את הדירה למשה. משה רכש את הדירה מהמימוש באמצעות ההוצאה לפועל, ולכן קיבל זכות בעלות תקפה ונקייה מכל זכות קודמת, לרבות זכותו של יוסי.
במצב זה, יוסי אינו יכול לדרוש את הדירה, וזכותו מוגבלת לתביעה כספית כנגד דני בגין הפרת ההסכם. הבעלות בדירה עברה כדין למשה, וזכותו עדיפה על פני זכותו הלא רשומה של יוסי.",ChatGPT,1,0,זכות חוזית לא גוברת על זכות משכנתה רשומה $!$ מימוש משכנתה על ידי הבנק באמצעות הוצאה לפועל $!$ זכויות רוכש דירה מהמימוש בהוצאה לפועל $!$ העדפת זכות קניינית רשומה על פני זכות חוזית
120,"מבחני לשכה, דין מהותי, דצמבר 24","דני הוא בעלים של דירת גן. כדי לקנות את דירת הגן קיבל דני משכנתה מהבנק. לאחר שנתיים החליט דני למכור את הדירה והוא חתם על הסכם למכירת דירתו ליוסי, בלי ליידע את הבנק על העסקה. כשיוסי ביקש לרשום את הדירה על שמו התברר לו שהבנק התחיל בהליכי הוצאה לפועל של המשכנתה עקב אי תשלום של דני. ולאחר כמה ימים גילה יוסי שהדירה נמכרה למשה בהוצאה לפועל. מה הדין?","במקרה זה, דני הפר את תנאי המשכנתה שלו על ידי מכירת דירת הגן שלו ליוסי מבלי ליידע את הבנק, מה שהוביל להליכי עיקול על ידי הבנק. כתוצאה מכך, יוסי לא יכול היה לרשום את הדירה על שמו, והבנק מכר את הדירה למשה בהליך העיקול.
הבעיה המרכזית כאן היא שהעסקה בין דני ליוסי אינה תקפה, מכיוון שהדירה כבר נמכרה למשה. בנוסף, דני הפר את תנאי המשכנתה שלו, מה שהוביל לעיקול על ידי הבנק, וגרם ליוסי נזק.
בהקשר זה, יוסי יכול לנקוט בצעדים משפטיים נגד דני בגין הפרת תנאי המשכנתה וגרימת נזקים. ייתכן שהוא יכול גם לבקש פיצוי מהבנק על כך שהבנק מכר את הדירה למשה ולא יידע אותו על הליכי העיקול.
מבחינת התוצאה, יוסי כנראה לא יוכל לקבל את הדירה, מכיוון שהיא כבר נמכרה למשה. עם זאת, הוא עשוי להיות זכאי לפיצוי על הפסדים כספיים שנגרמו כתוצאה מהפרת תנאי המשכנתה של דני.",Dicta,1,0,הפרת תנאי משכנתה על ידי בעל הדירה ומכירת נכס ללא ידיעת הבנק $!$ אחריות הבנק כלפי צד שלישי שלא נרשמה לטובתו הערת אזהרה $!$ פיצוי על נזק שנגרם מרכישת דירה שנמכרה בהליכי עיקול $!$ זכויות רוכש בהליך מימוש משכנתה לעומת רוכש שלא נרשמה זכותו
